,Age,W,TOV%,ORB%,Dfg%,DRB%,Tm,3P%,2P,FT%,DRB,PTS,TS%,3PAr,FTr,TRB%,AST%,STL%,BLK%,year
0,27.5,38,14.3,21.0,0.51,74.4,ATL,3.201,33.5,7.859000000000001,35.7,116.3,5.6240000000000006,3.247,2.539,101.1,167.2,16.299999999999994,14.7,2014.0
1,25.4,25,14.2,27.4,0.505,74.2,BOS,2.963,32.2,7.644,31.500000000000004,105.0,5.146,2.4330000000000003,2.6060000000000003,99.0,151.4,16.2,12.500000000000002,2014.0
2,30.0,44,14.1,21.7,0.509,72.3,BRK,2.5140000000000002,27.5,7.4490000000000025,30.7,97.8,5.5589999999999975,2.5040000000000004,3.531,104.3,143.2,19.5,15.7,2014.0
3,28.6,48,14.2,27.2,0.47100000000000003,75.4,CHI,2.019,34.2,7.623999999999999,37.7,112.8,5.1530000000000005,2.3369999999999997,2.86,106.3,153.5,15.6,16.8,2014.0
4,25.5,43,11.7,21.9,0.491,77.6,CHO,2.373,31.4,7.27,35.4,101.6,5.408,2.4370000000000003,3.5740000000000003,104.69999999999996,134.3,12.400000000000002,19.1,2014.0
5,24.9,33,13.0,27.2,0.508,75.8,CLE,2.471,31.8,7.5989999999999975,31.40000000000001,104.9,5.271999999999999,2.351,2.7669999999999995,95.6,144.9,15.900000000000002,11.3,2014.0
6,30.6,49,12.7,24.6,0.515,72.7,DAL,2.567,32.3,7.771,31.7,109.0,5.732000000000001,2.592,2.699,106.1,140.20000000000002,18.2,17.2,2014.0
7,26.0,36,14.0,27.5,0.5,74.5,DEN,2.7410000000000005,32.5,7.6400000000000015,33.099999999999994,115.90000000000003,5.36,2.715,2.9789999999999996,96.79999999999998,155.2,14.499999999999998,15.4,2014.0
8,24.7,29,12.9,31.4,0.52,73.4,DET,2.7039999999999997,34.3,7.035000000000001,31.8,105.8,5.278,2.414,2.7470000000000003,101.3,131.5,16.900000000000002,16.0,2014.0
9,26.3,51,13.8,25.1,0.47700000000000004,76.3,GSW,2.446,34.300000000000004,7.249,38.4,115.6,5.4750000000000005,2.346,2.6590000000000003,111.3,131.7,14.700000000000005,18.1,2014.0
10,25.4,54,14.6,27.4,0.489,74.1,HOU,3.003,32.2,6.8260000000000005,39.8,119.0,5.6,3.153,3.81,113.0,124.4,14.7,18.6,2014.0
11,27.2,56,14.3,24.9,0.46,76.8,IND,3.0869999999999997,31.399999999999995,7.742000000000001,36.7,103.69999999999996,5.270999999999999,2.092,3.167,102.8,133.70000000000002,14.199999999999998,17.1,2014.0
12,28.1,57,12.7,25.0,0.484,72.5,LAC,2.815,34.1,7.473,33.4,122.90000000000002,5.822000000000001,2.9400000000000004,3.73,86.4,153.6,16.5,15.6,2014.0
13,26.8,27,13.7,20.2,0.513,71.0,LAL,2.963,30.9,7.3199999999999985,32.3,111.3,5.3870000000000005,2.764,2.8,92.2,155.70000000000005,15.0,16.700000000000006,2014.0
14,28.5,50,13.1,28.3,0.4970000000000001,75.7,MEM,2.535,34.9,7.341000000000001,31.3,101.0,5.315,1.902,2.365,100.4,150.7,19.0,17.6,2014.0
15,30.6,54,14.6,20.6,0.511,73.0,MIA,3.434,33.599999999999994,7.651,30.2,111.2,5.7879999999999985,3.346,2.759,94.0,142.0,20.0,17.4,2014.0
16,24.7,15,14.1,27.1,0.52,71.4,MIL,2.7460000000000004,33.1,7.729000000000001,32.5,112.5,5.193999999999999,2.334,2.9210000000000003,94.7,160.9,14.500000000000002,13.400000000000002,2014.0
17,26.3,40,12.2,27.4,0.518,74.4,MIN,3.2540000000000004,34.3,7.476000000000001,33.2,114.0,5.249,2.03,3.0180000000000002,102.7,138.89999999999998,17.000000000000004,11.8,2014.0
18,24.3,34,12.9,26.9,0.515,73.8,NOP,2.67,35.3,7.655,31.6,106.50000000000004,5.401,1.6,2.765,98.3,161.4,18.4,21.1,2014.0
19,28.3,37,12.5,25.1,0.514,74.3,NYK,2.552,31.6,7.485999999999999,34.3,110.5,5.482,3.028,2.273,98.5,127.9,16.4,17.5,2014.0
20,26.2,59,14.0,26.5,0.488,75.6,OKC,2.722,32.8,7.5589999999999975,34.99999999999999,112.9,5.4780000000000015,2.4530000000000003,3.216,105.6,150.29999999999995,18.1,19.2,2014.0
21,24.6,23,13.9,22.4,0.504,75.5,ORL,2.8080000000000003,35.6,7.5710000000000015,37.6,110.6,5.2360000000000015,2.149,2.388,106.0,133.20000000000002,16.2,15.8,2014.0
22,23.4,19,14.8,24.8,0.524,72.4,PHI,2.651,36.99999999999999,7.277,36.8,117.1,5.1720000000000015,2.526,2.689,100.4,143.7,17.3,12.0,2014.0
23,26.2,48,14.0,26.4,0.496,73.7,PHO,2.8000000000000007,31.9,7.3279999999999985,33.1,113.3,5.452000000000001,2.724,2.8229999999999995,98.60000000000002,131.7,18.6,14.3,2014.0
24,25.8,54,12.4,28.0,0.488,74.7,POR,2.434,31.70000000000001,7.7109999999999985,35.5,112.5,5.4090000000000025,2.9139999999999997,2.5810000000000004,107.70000000000002,132.0,11.8,13.3,2014.0
25,24.9,28,13.9,27.8,0.512,76.6,SAC,2.508,33.7,7.5299999999999985,32.8,110.1,5.17,2.25,3.0920000000000005,99.70000000000002,120.3,14.099999999999998,13.900000000000002,2014.0
26,28.9,62,13.5,22.7,0.48200000000000004,76.4,SAS,2.773,33.2,7.854999999999999,34.099999999999994,108.2,5.8100000000000005,2.503,2.521,103.6,159.5,15.8,15.900000000000002,2014.0
27,25.6,48,13.2,27.2,0.493,74.9,TOR,2.944,33.9,7.659,35.7,121.1,5.421,2.634,3.2119999999999997,105.79999999999998,137.89999999999998,15.2,15.6,2014.0
28,24.5,25,13.9,25.5,0.518,74.5,UTA,2.425,31.2,7.525999999999999,30.9,101.2,5.143,2.535,2.305,94.0,136.20000000000002,15.4,12.5,2014.0
29,26.3,44,13.6,25.2,0.504,75.7,WAS,3.299,32.9,7.431999999999999,32.3,107.8,5.343,2.384,2.423,98.7,134.39999999999998,16.2,16.7,2014.0
30,27.8,60,13.5,21.4,0.4920000000000001,73.4,ATL,3.5730000000000004,28.6,7.688,33.4,106.5,5.589,3.659,2.7319999999999998,98.0,164.5,19.0,14.699999999999998,2015.0
31,25.0,40,12.5,24.7,0.494,75.0,BOS,2.714,35.2,7.164,38.6,111.0,5.165,2.562,2.367,105.8,167.2,17.5,12.1,2015.0
32,28.6,38,13.0,23.9,0.506,73.7,BRK,2.664,35.0,7.61,37.0,110.8,5.326999999999999,2.532,2.613,106.0,131.7,15.7,13.2,2015.0
