,3P%,FT%,TRB,AST,STL,BLK,PF,PTS,TEAM,AGE,W,SOS,PACE,3PAr,TS%,TOV%,ORB%,FT/FGA,D_eFG%,D_TOV%,DRB%,D_FT/FGA,SEASON
0,0.333,0.79,43.3,24.0,7.8,5.1,23.1,111.8,ATL,24.1,20.0,0.4,103.0,0.398,0.5539999999999999,13.8,21.6,0.204,0.5429999999999999,12.7,74.9,0.233,2019-20
1,0.35200000000000004,0.752,46.1,25.8,8.2,5.1,23.6,113.3,ATL,25.1,29.0,-0.04,103.9,0.403,0.555,14.3,24.7,0.192,0.541,12.8,76.4,0.237,2018-19
2,0.36,0.785,41.9,23.7,7.8,4.2,19.6,103.4,ATL,25.4,24.0,0.15,98.3,0.363,0.547,14.1,21.1,0.185,0.536,13.6,76.2,0.183,2017-18
3,0.341,0.728,44.3,23.6,8.2,4.8,18.2,103.2,ATL,27.9,43.0,-0.38,97.4,0.309,0.541,14.2,23.6,0.215,0.507,13.8,76.1,0.179,2016-17
4,0.35,0.7829999999999999,42.1,25.6,9.1,5.9,19.1,102.8,ATL,28.2,48.0,-0.12,97.1,0.336,0.552,13.8,19.1,0.185,0.48,14.4,74.6,0.194,2015-16
5,0.38,0.778,40.6,25.7,9.1,4.6,17.8,102.5,ATL,27.8,60.0,-0.68,93.9,0.321,0.563,13.5,21.4,0.201,0.4920000000000001,14.9,73.4,0.185,2014-15
6,0.363,0.7809999999999999,40.0,24.9,8.3,4.0,19.2,101.0,ATL,27.5,38.0,-0.4,94.6,0.316,0.5539999999999999,14.3,21.0,0.208,0.51,14.0,74.4,0.196,2013-14
7,0.371,0.715,40.9,24.5,8.1,4.5,18.0,98.0,ATL,27.1,44.0,-0.48,92.6,0.28600000000000003,0.546,14.2,22.2,0.174,0.496,14.2,73.6,0.181,2012-13
8,0.37,0.74,41.2,22.4,8.1,4.6,17.8,96.6,ATL,27.9,40.0,-0.77,90.2,0.249,0.535,13.4,23.9,0.192,0.48,14.4,74.4,0.18600000000000005,2011-12
9,0.35200000000000004,0.779,39.3,22.0,6.1,4.2,19.0,95.0,ATL,27.4,44.0,-0.28,89.3,0.222,0.542,13.5,23.4,0.209,0.495,12.3,74.6,0.211,2010-11
