,Age,W,L,MOV,SOS,ORtg,DRtg,NRtg,Pace,eFG%,TOV%,ORB%,FT/FGA,eFG%.1,TOV%.1,DRB%,FT/FGA.1,Tm,Age,G,GS,MPG,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,year
0,27.5,38,44,-0.48,-0.4,105.9,106.4,-0.5,94.6,0.515,14.3,21.0,0.20800000000000002,0.51,14.0,74.4,0.196,ATL,279,662,390,265.6,43.7,92.60000000000001,4.664000000000001,9.899999999999999,27.599999999999994,3.201,33.5,65.0,5.114,5.256,19.1,24.5,7.859000000000001,10.299999999999999,35.699999999999996,46.00000000000001,27.400000000000002,9.0,5.0,15.700000000000001,20.5,116.30000000000001,17487,154.7,5.6240000000000006,3.247,2.5389999999999997,45.7,155.5,101.1,167.2,16.299999999999997,14.700000000000001,132.1,201.39999999999998,20.6,18.199999999999996,38.9,1.046,1.1999999999999997,-0.5,0.8999999999999999,10.1,20140
1,25.4,25,57,-4.46,-0.51,102.9,107.7,-4.8,93.3,0.47700000000000004,14.2,27.4,0.193,0.505,13.4,74.2,0.22699999999999998,BOS,252,650,372,255.70000000000002,39.699999999999996,91.20000000000002,4.373,7.5,22.2,2.9629999999999996,32.2,68.8,4.681,4.769000000000001,17.9,22.599999999999998,7.644,12.3,31.500000000000004,43.6,22.900000000000002,7.700000000000001,4.199999999999999,15.399999999999999,22.3,105.0,16525,137.60000000000002,5.146,2.433,2.606,54.9,145.5,99.00000000000001,151.4,16.2,12.500000000000002,146.8,196.7,11.7,14.6,26.299999999999997,0.7529999999999999,-8.5,-3.0,-11.5,3.4000000000000004,20140
2,30.0,44,38,-1.0,-0.58,106.7,107.7,-1.0,91.4,0.514,14.1,21.7,0.23600000000000002,0.509,14.9,72.3,0.23600000000000002,BRK,303,686,379,240.79999999999998,35.7,77.19999999999997,4.745,8.299999999999999,22.300000000000004,2.5140000000000002,27.5,54.8,5.045999999999999,5.2,18.0,24.2,7.449000000000001,8.599999999999998,30.7,39.2,21.7,8.8,3.9,13.799999999999999,20.999999999999996,97.80000000000001,16734,151.70000000000002,5.558999999999999,2.5040000000000004,3.531,49.0,159.29999999999998,104.3,143.2,19.5,15.7,139.70000000000002,195.2,19.9,15.2,35.2,0.9930000000000001,0.8999999999999999,-0.8999999999999999,-0.19999999999999984,8.799999999999999,20140
3,28.6,48,34,1.85,-0.66,102.5,100.5,2.0,90.2,0.47100000000000003,14.2,27.2,0.226,0.47100000000000003,13.7,75.4,0.18899999999999997,CHI,290,701,398,282.2,41.60000000000001,94.80000000000001,4.314,7.300000000000001,21.3,2.019,34.2,73.7,4.5600000000000005,4.715000000000001,22.7,28.700000000000003,7.623999999999999,12.899999999999999,37.699999999999996,50.900000000000006,26.799999999999997,8.7,5.500000000000001,16.2,21.500000000000004,112.8,19113,139.2,5.1530000000000005,2.3369999999999997,2.86,58.2,152.89999999999998,106.30000000000001,153.5,15.600000000000001,16.8,137.09999999999997,196.1,14.700000000000001,34.0,48.89999999999999,1.151,-10.0,11.099999999999998,1.0000000000000004,12.4,20140
4,25.5,43,39,-0.22,-0.67,103.6,103.8,-0.2,92.4,0.48100000000000004,11.7,21.9,0.21899999999999997,0.491,12.6,77.6,0.183,CHO,248,690,399,253.2,37.9,84.8,4.55,6.199999999999999,17.8,2.373,31.4,66.7,4.8020000000000005,5.0,19.700000000000003,26.7,7.2700000000000005,9.9,35.4,45.199999999999996,22.5,6.299999999999999,5.3,11.999999999999998,18.1,101.60000000000001,17597,142.6,5.408,2.4370000000000003,3.5740000000000003,49.199999999999996,160.79999999999998,104.69999999999997,134.3,12.400000000000002,19.1,117.69999999999999,184.8,15.4,24.1,39.50000000000001,1.079,-7.699999999999999,5.5,-2.1999999999999997,9.399999999999999,20140
5,24.9,33,49,-3.29,-0.57,104.2,107.7,-3.5,93.1,0.479,13.0,27.2,0.201,0.508,13.0,75.8,0.19899999999999998,CLE,253,666,348,253.8,39.300000000000004,89.19999999999997,4.461999999999999,7.5,21.199999999999996,2.4709999999999996,31.799999999999997,68.10000000000001,4.704000000000001,4.882,18.799999999999997,24.7,7.598999999999999,12.0,31.400000000000006,43.199999999999996,23.6,8.0,3.0,13.700000000000001,19.7,104.9,16891,142.2,5.271999999999999,2.351,2.7669999999999995,51.8,141.50000000000003,95.60000000000001,144.9,15.900000000000002,11.3,125.0,191.29999999999998,17.5,14.4,32.0,0.9019999999999999,-4.2,-2.2000000000000006,-6.5,6.200000000000001,20140
6,30.6,49,33,2.4,0.5,111.2,108.7,2.5,93.5,0.526,12.7,24.6,0.201,0.515,14.8,72.7,0.22899999999999998,DAL,302,734,408,247.39999999999998,41.1,85.60000000000001,4.889000000000001,8.8,22.9,2.567,32.3,62.5,5.1659999999999995,5.372999999999999,18.1,22.8,7.771,10.799999999999999,31.699999999999996,42.50000000000001,24.5,8.899999999999999,4.699999999999999,13.299999999999999,20.200000000000003,109.0,18478,169.3,5.732000000000001,2.592,2.699,59.199999999999996,152.6,106.1,140.20000000000002,18.2,17.2,124.3,193.1,33.199999999999996,14.700000000000001,48.0,1.28,10.6,-1.4,9.200000000000001,14.600000000000001,20140
7,26.0,36,46,-2.15,0.75,106.0,108.2,-2.2,98.1,0.49700000000000005,14.0,27.5,0.222,0.5,12.8,74.5,0.233,DEN,262,653,371,258.9,42.5,95.0,4.484,9.8,26.999999999999996,2.7410000000000005,32.5,67.9,4.735,4.976,21.200000000000003,28.8,7.640000000000001,12.4,33.099999999999994,45.6,27.599999999999998,7.7,5.1,17.200000000000003,24.599999999999998,115.90000000000003,16812,145.60000000000002,5.36,2.715,2.9789999999999996,53.199999999999996,141.0,96.79999999999998,155.2,14.499999999999998,15.4,135.39999999999998,203.7,19.800000000000004,13.4,33.199999999999996,0.885,-1.9,-3.8,-5.7,7.1999999999999975,20140
8,24.7,29,53,-3.66,-0.48,105.9,109.7,-3.8,94.9,0.48200000000000004,12.9,31.4,0.19899999999999998,0.52,13.8,73.4,0.218,DET,248,707,403,250.0,40.699999999999996,90.49999999999999,4.553,6.200000000000001,18.9,2.7039999999999997,34.3,71.49999999999999,4.831,4.978000000000001,18.099999999999998,26.699999999999996,7.035000000000001,15.000000000000002,31.8,47.300000000000004,22.099999999999998,8.5,5.199999999999999,14.600000000000001,21.599999999999998,105.80000000000001,18749,146.8,5.278,2.414,2.7470000000000003,62.7,144.4,101.3,131.5,16.900000000000002,16.0,120.9,190.8,20.200000000000003,12.2,32.300000000000004,0.8210000000000001,-3.5,-7.000000000000001,-10.399999999999999,5.799999999999999,20140
9,26.3,51,31,4.8,0.34,107.5,102.6,4.9,96.2,0.517,13.8,25.1,0.18600000000000003,0.47700000000000004,13.6,76.3,0.22399999999999998,GSW,267,683,408,262.3,44.099999999999994,93.69999999999999,4.712999999999999,9.7,25.099999999999998,2.446,34.300000000000004,68.60000000000001,4.990999999999999,5.143000000000001,18.0,23.7,7.249,12.4,38.4,51.10000000000001,24.499999999999996,8.1,5.700000000000001,16.1,23.1,115.60000000000001,18338,153.10000000000002,5.4750000000000005,2.346,2.6590000000000003,58.8,162.2,111.3,131.7,14.700000000000003,18.099999999999998,136.5,202.50000000000003,24.799999999999997,28.0,52.900000000000006,1.279,-1.3999999999999995,8.799999999999999,7.300000000000002,16.6,20140
