Rk,Team,Age,W,L,MOV,SOS,ORtg,DRtg,NRtg,Pace,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA
1,Milwaukee Bucks*,26.9,60,22,8.87,-0.82,113.8,105.2,+8.6,103.3,.550,12.0,20.8,.197,.503,11.5,80.3,.162
2,Golden State Warriors*,28.4,57,25,6.46,-0.04,115.9,109.5,+6.4,100.9,.565,12.6,22.5,.182,.508,11.7,77.1,.205
3,Toronto Raptors*,27.3,58,24,6.09,-0.60,113.1,107.1,+6.0,100.2,.543,12.4,21.9,.198,.509,13.1,77.1,.190
4,Utah Jazz*,27.3,50,32,5.26,0.03,110.9,105.7,+5.2,100.3,.538,13.4,22.9,.217,.507,12.4,80.3,.189
5,Houston Rockets*,29.2,53,29,4.77,0.19,115.5,110.7,+4.8,97.9,.542,12.0,22.8,.221,.525,13.4,74.4,.210
6,Portland Trail Blazers*,26.2,53,29,4.20,0.24,114.7,110.5,+4.2,99.1,.528,12.1,26.6,.210,.516,11.0,77.9,.195
7,Denver Nuggets*,24.9,54,28,3.95,0.24,113.0,108.9,+4.1,97.7,.527,11.9,26.6,.175,.521,12.3,78.0,.194
8,Boston Celtics*,25.7,49,33,4.44,-0.54,112.2,107.8,+4.4,99.6,.534,11.5,21.6,.173,.514,13.4,77.0,.198
9,Oklahoma City Thunder*,25.7,49,33,3.40,0.15,110.3,107.0,+3.3,102.8,.514,11.7,26.0,.190,.523,14.4,78.2,.206
10,Indiana Pacers*,27.0,48,34,3.33,-0.57,109.9,106.5,+3.4,98.1,.530,12.4,21.9,.182,.516,14.1,76.2,.184
11,Philadelphia 76ers*,26.4,51,31,2.70,-0.44,112.6,110.0,+2.6,101.6,.532,12.9,24.5,.241,.512,11.1,78.6,.206
12,San Antonio Spurs*,28.8,48,34,1.68,0.12,112.9,111.2,+1.7,98.3,.534,11.0,21.0,.194,.528,11.0,79.4,.170
13,Los Angeles Clippers*,27.2,48,34,0.85,0.23,112.4,111.5,+0.9,101.7,.529,12.7,22.0,.258,.514,11.4,76.0,.224
14,Orlando Magic*,25.7,42,40,0.71,-0.43,108.9,108.1,+0.8,98.1,.518,11.9,22.0,.168,.515,11.8,79.7,.186
15,Brooklyn Nets*,25.4,42,40,-0.07,-0.33,109.6,109.7,-0.1,100.8,.520,13.0,23.8,.211,.512,11.6,76.4,.190
16,Miami Heat,27.0,39,43,-0.23,-0.22,107.3,107.6,-0.3,98.2,.515,13.1,24.8,.172,.510,12.7,77.6,.201
17,Detroit Pistons*,26.9,41,41,-0.24,-0.31,109.0,109.2,-0.2,97.4,.509,12.3,24.8,.195,.526,12.8,78.7,.211
18,Sacramento Kings,24.8,39,43,-1.12,0.31,110.4,111.5,-1.1,103.1,.524,11.5,23.1,.177,.533,13.6,75.5,.207
19,Dallas Mavericks,26.9,33,49,-1.28,0.42,109.4,110.7,-1.3,99.0,.519,12.7,22.7,.216,.522,11.6,77.5,.191
20,Minnesota Timberwolves,26.2,36,46,-1.50,0.48,111.4,112.9,-1.5,100.2,.511,11.4,24.6,.210,.538,12.9,74.9,.190
21,New Orleans Pelicans,25.7,33,49,-1.33,0.23,111.4,112.6,-1.2,103.3,.529,12.6,24.1,.193,.532,11.6,76.8,.193
22,Charlotte Hornets,26.6,39,43,-1.10,-0.22,111.4,112.5,-1.1,98.7,.514,10.9,21.7,.205,.538,12.1,77.1,.179
23,Los Angeles Lakers,26.2,37,45,-1.72,0.39,107.8,109.5,-1.7,103.2,.527,13.4,22.2,.180,.516,12.2,76.4,.192
24,Memphis Grizzlies,27.7,33,49,-2.60,0.51,106.1,108.8,-2.7,96.6,.508,12.9,20.0,.210,.521,13.9,77.6,.232
25,Washington Wizards,26.5,32,50,-2.90,-0.40,111.1,113.9,-2.8,101.4,.531,12.3,21.3,.204,.546,13.5,74.1,.199
26,Atlanta Hawks,25.1,29,53,-6.02,-0.04,108.1,113.9,-5.8,103.9,.522,14.3,24.7,.192,.541,12.8,76.4,.237
27,Chicago Bulls,24.0,22,60,-8.41,0.10,104.8,113.2,-8.4,99.0,.505,12.7,19.4,.184,.541,11.9,77.3,.188
28,Phoenix Suns,24.0,19,63,-9.34,0.73,105.9,115.1,-9.2,100.5,.514,13.8,20.5,.202,.545,13.5,72.5,.236
29,New York Knicks,23.4,17,65,-9.21,0.28,104.5,113.7,-9.2,99.6,.490,12.4,22.1,.205,.533,11.7,76.1,.203
30,Cleveland Cavaliers,25.2,19,63,-9.61,0.22,107.7,117.6,-9.9,96.6,.503,12.2,23.7,.187,.564,11.5,77.0,.181
