,Age,W,Pace,ORB%,Tm,3P%,FT%,TOV,PTS,TS%,3PAr,FTr,TRB%,AST%,STL%,BLK%,year
0,27.5,38,94.6,21.0,ATL,3.201,7.859000000000001,15.7,116.3,5.6240000000000006,3.247,2.539,101.1,167.2,16.299999999999994,14.7,2014.0
1,25.4,25,93.3,27.4,BOS,2.963,7.644,15.4,105.0,5.146,2.4330000000000003,2.6060000000000003,99.0,151.4,16.2,12.500000000000002,2014.0
2,30.0,44,91.4,21.7,BRK,2.5140000000000002,7.4490000000000025,13.8,97.8,5.5589999999999975,2.5040000000000004,3.531,104.3,143.2,19.5,15.7,2014.0
3,28.6,48,90.2,27.2,CHI,2.019,7.623999999999999,16.2,112.8,5.1530000000000005,2.3369999999999997,2.86,106.3,153.5,15.6,16.8,2014.0
4,25.5,43,92.4,21.9,CHO,2.373,7.27,11.999999999999998,101.6,5.408,2.4370000000000003,3.5740000000000003,104.69999999999996,134.3,12.400000000000002,19.1,2014.0
5,24.9,33,93.1,27.2,CLE,2.471,7.5989999999999975,13.7,104.9,5.271999999999999,2.351,2.7669999999999995,95.6,144.9,15.900000000000002,11.3,2014.0
6,30.6,49,93.5,24.6,DAL,2.567,7.771,13.3,109.0,5.732000000000001,2.592,2.699,106.1,140.20000000000002,18.2,17.2,2014.0
7,26.0,36,98.1,27.5,DEN,2.7410000000000005,7.6400000000000015,17.200000000000006,115.90000000000003,5.36,2.715,2.9789999999999996,96.79999999999998,155.2,14.499999999999998,15.4,2014.0
8,24.7,29,94.9,31.4,DET,2.7039999999999997,7.035000000000001,14.6,105.8,5.278,2.414,2.7470000000000003,101.3,131.5,16.900000000000002,16.0,2014.0
9,26.3,51,96.2,25.1,GSW,2.446,7.249,16.1,115.6,5.4750000000000005,2.346,2.6590000000000003,111.3,131.7,14.700000000000005,18.1,2014.0
10,25.4,54,96.3,27.4,HOU,3.003,6.8260000000000005,16.799999999999994,119.0,5.6,3.153,3.81,113.0,124.4,14.7,18.6,2014.0
11,27.2,56,92.5,24.9,IND,3.0869999999999997,7.742000000000001,15.800000000000002,103.69999999999996,5.270999999999999,2.092,3.167,102.8,133.70000000000002,14.199999999999998,17.1,2014.0
12,28.1,57,95.9,25.0,LAC,2.815,7.473,14.7,122.90000000000002,5.822000000000001,2.9400000000000004,3.73,86.4,153.6,16.5,15.6,2014.0
13,26.8,27,98.7,20.2,LAL,2.963,7.3199999999999985,15.3,111.3,5.3870000000000005,2.764,2.8,92.2,155.70000000000005,15.0,16.700000000000006,2014.0
14,28.5,50,89.9,28.3,MEM,2.535,7.341000000000001,13.800000000000002,101.0,5.315,1.902,2.365,100.4,150.7,19.0,17.6,2014.0
15,30.6,54,91.2,20.6,MIA,3.434,7.651,15.6,111.2,5.7879999999999985,3.346,2.759,94.0,142.0,20.0,17.4,2014.0
16,24.7,15,91.8,27.1,MIL,2.7460000000000004,7.729000000000001,16.4,112.5,5.193999999999999,2.334,2.9210000000000003,94.7,160.9,14.500000000000002,13.400000000000002,2014.0
17,26.3,40,97.3,27.4,MIN,3.2540000000000004,7.476000000000001,13.999999999999998,114.0,5.249,2.03,3.0180000000000002,102.7,138.89999999999998,17.000000000000004,11.8,2014.0
18,24.3,34,92.2,26.9,NOP,2.67,7.655,15.3,106.50000000000004,5.401,1.6,2.765,98.3,161.4,18.4,21.1,2014.0
19,28.3,37,90.3,25.1,NYK,2.552,7.485999999999999,13.6,110.5,5.482,3.028,2.273,98.5,127.9,16.4,17.5,2014.0
20,26.2,59,95.4,26.5,OKC,2.722,7.5589999999999975,16.5,112.9,5.4780000000000015,2.4530000000000003,3.216,105.6,150.29999999999995,18.1,19.2,2014.0
