Rk,Team,Age,W,L,MOV,SOS,ORtg,DRtg,NRtg,Pace,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA
1,Golden State Warriors*,26.6,67,15,10.10,-0.09,111.6,101.4,+10.2,98.3,.540,13.1,24.1,.184,.470,14.3,74.5,.217
2,Los Angeles Clippers*,28.8,56,26,6.59,0.22,112.4,105.5,+6.9,94.7,.533,11.6,22.8,.215,.493,13.2,75.7,.231
3,San Antonio Spurs*,29.8,55,27,6.20,0.14,108.5,102.0,+6.5,93.8,.517,13.1,23.4,.200,.484,13.3,77.3,.190
4,Atlanta Hawks*,27.8,60,22,5.43,-0.68,108.9,103.1,+5.8,93.9,.527,13.5,21.4,.201,.492,14.9,73.4,.185
5,Portland Trail Blazers*,27.0,51,31,4.23,0.18,108.2,103.7,+4.5,94.2,.508,12.6,24.2,.180,.476,11.3,76.2,.182
6,Cleveland Cavaliers*,26.9,53,29,4.48,-0.40,111.1,106.3,+4.8,92.3,.520,13.4,26.8,.216,.502,12.6,74.7,.177
7,Houston Rockets*,27.6,56,26,3.44,0.38,107.0,103.4,+3.6,96.5,.512,15.0,26.8,.223,.486,14.6,72.9,.208
8,Memphis Grizzlies*,29.6,55,27,3.24,0.38,105.7,102.2,+3.5,92.0,.489,12.6,24.7,.214,.492,14.5,75.3,.183
9,Dallas Mavericks*,29.9,50,32,2.90,0.46,109.5,106.4,+3.1,95.2,.515,11.9,23.6,.197,.503,14.7,72.2,.204
10,Chicago Bulls*,28.8,50,32,3.00,-0.46,107.5,104.3,+3.2,92.8,.489,12.9,27.0,.238,.473,11.3,74.4,.182
11,Oklahoma City Thunder,25.4,45,37,2.18,0.28,107.8,105.5,+2.3,95.7,.492,13.1,28.9,.214,.489,12.4,75.6,.213
12,Toronto Raptors*,26.1,49,33,3.07,-0.62,111.0,107.7,+3.3,92.8,.508,12.0,25.6,.232,.506,13.4,73.3,.208
13,New Orleans Pelicans*,25.3,45,37,0.79,0.34,108.2,107.3,+0.9,91.4,.501,12.5,27.1,.198,.496,11.7,75.1,.195
14,Utah Jazz,23.4,38,44,0.22,0.49,105.1,104.9,+0.2,90.4,.494,14.6,29.1,.214,.491,12.8,76.3,.199
15,Washington Wizards*,28.6,46,36,0.72,-0.55,103.7,103.0,+0.7,93.7,.499,14.0,24.9,.192,.481,12.9,77.3,.210
16,Milwaukee Bucks*,24.6,41,41,0.43,-0.52,102.7,102.2,+0.5,94.1,.499,15.5,25.4,.195,.487,15.9,73.3,.221
17,Indiana Pacers,28.3,38,44,0.28,-0.51,103.5,103.2,+0.3,93.2,.484,13.1,24.0,.201,.478,12.0,77.9,.217
18,Phoenix Suns,25.7,39,43,-0.90,0.52,105.3,106.2,-0.9,96.3,.501,13.7,24.5,.191,.497,14.0,73.5,.221
19,Boston Celtics*,25.0,40,42,0.16,-0.56,104.7,104.5,+0.2,95.8,.489,12.5,24.7,.176,.494,13.7,75.0,.208
20,Detroit Pistons,25.9,32,50,-1.00,-0.39,105.3,106.4,-1.1,92.8,.482,12.3,27.7,.184,.502,13.2,75.0,.192
21,Miami Heat,28.5,37,45,-2.60,-0.32,103.9,106.7,-2.8,90.9,.500,14.5,23.2,.227,.505,14.2,73.4,.213
22,Denver Nuggets,26.4,30,52,-3.55,0.48,104.5,108.2,-3.7,96.1,.479,12.7,26.6,.204,.504,13.0,74.7,.239
23,Sacramento Kings,26.0,29,53,-3.71,0.64,105.3,109.2,-3.9,95.4,.490,14.8,26.5,.276,.507,11.8,75.2,.200
24,Brooklyn Nets*,28.6,38,44,-2.88,-0.25,104.4,107.4,-3.0,92.7,.491,13.0,23.9,.200,.506,12.9,73.7,.185
25,Charlotte Hornets,26.0,33,49,-3.17,-0.27,100.1,103.5,-3.4,93.0,.456,11.2,22.1,.202,.487,12.0,79.3,.188
26,Orlando Magic,24.3,25,57,-5.72,-0.15,101.6,107.7,-6.1,93.8,.494,14.0,23.1,.168,.514,13.6,76.0,.210
27,Los Angeles Lakers,27.0,21,61,-6.84,0.67,103.4,110.6,-7.2,94.0,.473,12.1,25.4,.204,.518,12.1,76.3,.231
28,Minnesota Timberwolves,24.4,16,66,-8.79,0.79,102.9,112.2,-9.3,94.4,.468,13.7,26.6,.240,.537,13.9,71.6,.187
29,Philadelphia 76ers,23.2,18,64,-8.98,-0.07,95.5,104.8,-9.3,95.7,.459,16.0,25.5,.195,.497,15.2,73.0,.225
30,New York Knicks,26.9,17,65,-9.32,-0.18,99.9,110.0,-10.1,91.2,.470,14.0,24.5,.180,.512,13.3,73.1,.234
