,Age,W,Pace,eFG%,TOV%,ORB%,FT/FGA,Dfg%,Dtov%,DRB%,Dft/fga,Tm,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%.1.1,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,TS%,3PAr,FTr,ORB%.1,DRB%.1,TRB%,AST%,STL%,BLK%,TOV%.1.1,USG%,year
0,27.5,38,94.6,0.515,14.3,21.0,0.208,0.51,14.0,74.4,0.196,ATL,43.7,92.6,4.6640000000000015,9.9,27.599999999999994,3.201,33.5,65.0,5.114,5.256,19.1,24.5,7.859000000000001,10.3,35.7,46.00000000000001,27.4,9.0,5.0,15.7,20.5,116.3,5.6240000000000006,3.247,2.539,45.7,155.5,101.1,167.2,16.299999999999994,14.7,132.1,201.4,2014.0
1,25.4,25,93.3,0.477,14.2,27.4,0.193,0.505,13.4,74.2,0.227,BOS,39.7,91.20000000000002,4.373,7.5,22.2,2.963,32.2,68.8,4.681,4.769000000000001,17.9,22.6,7.644,12.3,31.500000000000004,43.6,22.9,7.700000000000001,4.199999999999998,15.4,22.3,105.0,5.146,2.4330000000000003,2.6060000000000003,54.9,145.5,99.0,151.4,16.2,12.500000000000002,146.8,196.7,2014.0
2,30.0,44,91.4,0.514,14.1,21.7,0.236,0.509,14.9,72.3,0.236,BRK,35.7,77.19999999999997,4.745,8.299999999999999,22.300000000000004,2.514,27.5,54.8,5.0459999999999985,5.2,18.0,24.2,7.449000000000002,8.599999999999998,30.7,39.2,21.7,8.8,3.9,13.8,21.0,97.8,5.558999999999998,2.5040000000000004,3.531,49.0,159.29999999999995,104.3,143.2,19.5,15.7,139.70000000000002,195.2,2014.0
3,28.6,48,90.2,0.471,14.2,27.2,0.226,0.471,13.7,75.4,0.189,CHI,41.60000000000001,94.8,4.314,7.300000000000002,21.3,2.019,34.2,73.7,4.5600000000000005,4.715000000000002,22.7,28.700000000000006,7.623999999999999,12.9,37.7,50.90000000000001,26.8,8.7,5.500000000000001,16.2,21.500000000000004,112.8,5.1530000000000005,2.337,2.86,58.2,152.89999999999995,106.3,153.5,15.6,16.8,137.09999999999997,196.1,2014.0
4,25.5,43,92.4,0.481,11.7,21.9,0.219,0.491,12.6,77.6,0.183,CHO,37.9,84.8,4.55,6.199999999999998,17.8,2.373,31.4,66.7,4.8020000000000005,5.0,19.700000000000006,26.7,7.27,9.9,35.4,45.2,22.5,6.299999999999999,5.3,11.999999999999998,18.1,101.6,5.4079999999999995,2.4370000000000003,3.5740000000000003,49.2,160.79999999999995,104.69999999999996,134.3,12.400000000000002,19.1,117.7,184.8,2014.0
5,24.9,33,93.1,0.479,13.0,27.2,0.201,0.508,13.0,75.8,0.199,CLE,39.3,89.19999999999996,4.461999999999999,7.5,21.2,2.471,31.8,68.10000000000001,4.7040000000000015,4.882,18.8,24.7,7.598999999999998,12.0,31.40000000000001,43.2,23.6,8.0,3.0,13.7,19.7,104.9,5.2719999999999985,2.351,2.7669999999999995,51.8,141.50000000000003,95.6,144.9,15.900000000000002,11.3,125.0,191.3,2014.0
6,30.6,49,93.5,0.526,12.7,24.6,0.201,0.515,14.8,72.7,0.229,DAL,41.1,85.60000000000002,4.889000000000001,8.8,22.9,2.5669999999999997,32.3,62.5,5.166,5.372999999999998,18.1,22.8,7.771,10.8,31.7,42.50000000000001,24.5,8.899999999999997,4.699999999999998,13.3,20.200000000000006,109.0,5.732000000000001,2.592,2.699,59.2,152.6,106.1,140.20000000000002,18.2,17.2,124.3,193.1,2014.0
7,26.0,36,98.1,0.4970000000000001,14.0,27.5,0.222,0.5,12.8,74.5,0.233,DEN,42.5,95.0,4.484,9.8,27.0,2.7410000000000005,32.5,67.9,4.735,4.976,21.200000000000006,28.8,7.6400000000000015,12.4,33.099999999999994,45.6,27.6,7.7,5.1,17.200000000000006,24.6,115.90000000000003,5.36,2.715,2.979,53.2,141.0,96.79999999999998,155.2,14.499999999999998,15.4,135.39999999999998,203.7,2014.0
8,24.7,29,94.9,0.482,12.9,31.4,0.199,0.52,13.8,73.4,0.218,DET,40.7,90.5,4.553,6.200000000000001,18.9,2.704,34.3,71.49999999999999,4.831,4.9780000000000015,18.1,26.7,7.035000000000001,15.000000000000002,31.8,47.3,22.1,8.5,5.199999999999998,14.6,21.6,105.8,5.278,2.414,2.7470000000000003,62.7,144.4,101.3,131.5,16.900000000000002,16.0,120.9,190.8,2014.0
9,26.3,51,96.2,0.517,13.8,25.1,0.18600000000000005,0.477,13.6,76.3,0.224,GSW,44.1,93.7,4.712999999999999,9.7,25.1,2.4459999999999997,34.300000000000004,68.60000000000001,4.990999999999999,5.143000000000002,18.0,23.7,7.249,12.4,38.4,51.10000000000001,24.5,8.1,5.700000000000001,16.1,23.1,115.6,5.4750000000000005,2.346,2.6590000000000003,58.8,162.2,111.3,131.7,14.700000000000005,18.1,136.5,202.50000000000003,2014.0
